Height(Inches),Weight(Pounds),Height in cm,Weight in kg,,,,,category
65.78331,112.9925,167.0895172,51.25259682,2,160,0.393701,170,160-170
71.51521,136.4873,181.6485353,61.90967151,,180,,190,180-190
69.39874,153.0269,176.2727044,69.41191679,,180,,190,180-190
68.2166,142.3354,173.2700704,64.5623282,,170,,180,170-180
67.78781,144.2971,172.1809444,65.45214141,,170,,180,170-180
68.69784,123.3024,174.4924194,55.92909436,,170,,180,170-180
69.80204,141.4947,177.2970859,64.18099264,,180,,190,180-190
70.01472,136.4623,177.8372928,61.89833169,,180,,190,180-190
67.90265,112.3723,172.4726379,50.9712785,,170,,180,170-180
66.78236,120.6672,169.6271028,54.73378632,,170,,180,170-180
66.48769,127.4516,168.8786414,57.81114206,,170,,180,170-180
67.62333,114.143,171.7631654,51.77445546,,170,,180,170-180
68.30248,125.6107,173.4882055,56.97612287,,170,,180,170-180
67.11656,122.4618,170.4759703,55.54780416,,170,,180,170-180
68.27967,116.0866,173.4302681,52.65605864,,170,,180,170-180
71.0916,139.9975,180.5725665,63.50187334,,180,,190,180-190
66.461,129.5023,168.8108488,58.74132504,,170,,180,170-180
68.64927,142.9733,174.3690516,64.85167512,,170,,180,170-180
71.23033,137.9025,180.9249405,62.55159619,,180,,190,180-190
67.13118,124.0449,170.5131051,56.26588709,,170,,180,170-180
67.83379,141.2807,172.2977336,64.08392376,,170,,180,170-180
68.87881,143.5392,174.9520829,65.10836335,,170,,180,170-180
63.48115,97.90191,161.2420339,44.4076122,,160,,170,160-170
68.42187,129.5027,173.791456,58.74150647,,170,,180,170-180
67.62804,141.8501,171.7751288,64.34219956,,170,,180,170-180
67.20864,129.7244,170.7098534,58.84206802,,170,,180,170-180
70.84235,142.4235,179.9394718,64.60228974,,180,,190,180-190
67.49434,131.5502,171.435531,59.67023795,,170,,180,170-180
66.53401,108.3324,168.9962941,49.1388085,,170,,180,170-180
65.44098,113.8922,166.2199994,51.66069436,,170,,180,170-180
69.5233,103.3016,176.5890866,46.85687329,,180,,190,180-190
65.8132,120.7536,167.1654377,54.77297675,,170,,180,170-180
67.8163,125.7886,172.253309,57.05681705,,170,,180,170-180
70.59505,136.2225,179.3113302,61.78956011,,180,,190,180-190
71.80484,140.1015,182.3841951,63.549047,,180,,190,180-190
69.20613,128.7487,175.7834753,58.39949742,,180,,190,180-190
66.80368,141.7994,169.6812556,64.3192024,,170,,180,170-180
67.65893,121.2319,171.8535894,54.98993024,,170,,180,170-180
67.80701,131.3478,172.2297124,59.57843075,,170,,180,170-180
64.04535,106.7115,162.6751012,48.40357976,,160,,170,160-170
68.57463,124.3598,174.1794661,56.4087235,,170,,180,170-180
65.18357,124.8591,165.5661784,56.63520244,,170,,180,170-180
69.65814,139.6711,176.9315801,63.35382061,,180,,190,180-190
67.96731,137.3696,172.6368742,62.30987653,,170,,180,170-180
65.98088,106.4499,167.5913447,48.28491985,,170,,180,170-180
68.67249,128.7639,174.4280304,58.40639203,,170,,180,170-180
66.88088,145.6837,169.8773435,66.08109334,,170,,180,170-180
67.69868,116.819,171.9545543,52.98827009,,170,,180,170-180
69.82117,143.6215,177.345676,65.14569404,,180,,190,180-190
69.08817,134.9325,175.483857,61.20442525,,180,,190,180-190
69.91479,147.0219,177.5834707,66.68809137,,180,,190,180-190
67.33182,126.3285,171.0227304,57.30171186,,170,,180,170-180
70.26939,125.4839,178.4841542,56.91860729,,180,,190,180-190
69.10344,115.7084,175.5226428,52.4845098,,180,,190,180-190
65.38356,123.4892,166.0741527,56.01382551,,170,,180,170-180
70.18447,147.8926,178.2684575,67.08303472,,180,,190,180-190
70.40617,155.8987,178.8315752,70.71454491,,180,,190,180-190
66.54376,128.0742,169.0210591,58.093549,,170,,180,170-180
